date,read_bytes,write_bytes,read_ops,write_ops,read_time_ms,write_time_ms,busy_time_ms
2026-02-08 07:00:02,703647744,6454514688,17870,751630,3345,247605,31517
2026-02-08 08:00:02,703651840,6511109120,17871,763284,3345,251359,31919
2026-02-08 09:00:02,703651840,6562821120,17871,773426,3345,254762,32295
2026-02-08 10:00:02,703651840,6636434432,17871,788701,3345,259480,32807
2026-02-08 11:00:02,703651840,6694904832,17871,800661,3345,263537,33241
2026-02-08 12:00:02,703651840,6765179904,17871,815315,3345,268226,33763
2026-02-08 13:00:02,703651840,6833681408,17871,829615,3345,272859,34288
2026-02-08 14:00:02,703651840,6929347584,17871,849551,3345,278815,34971
2026-02-08 15:00:02,703651840,7000716288,17871,864471,3345,283973,35524
2026-02-08 16:00:02,703651840,7048147968,17871,874186,3345,287500,35888
2026-02-08 17:00:02,703655936,7102313472,17872,885223,3346,291242,36276
2026-02-08 18:00:03,703655936,7203787776,17872,903809,3346,297236,36936
2026-02-08 19:00:02,703655936,7270368256,17872,917079,3346,301165,37348
2026-02-08 20:00:02,703655936,7314486272,17872,925977,3346,304083,37618
2026-02-08 21:00:02,703655936,7391134720,17872,941305,3346,308485,38107
2026-02-08 22:00:02,703655936,7448622080,17872,953197,3346,312477,39570
2026-02-08 23:00:02,703655936,7507915776,17872,965255,3346,316264,39958
2026-02-09 00:00:02,703655936,7555658752,17872,974839,3346,319350,40339
2026-02-09 01:00:02,703660032,7608914944,17873,985824,3346,322881,40714
2026-02-09 02:00:02,703705088,7683331072,17875,1000531,3347,327128,45422
2026-02-09 03:00:03,703705088,8054187008,17875,1015462,3347,332906,46202
2026-02-09 04:00:02,703705088,8106050560,17875,1026260,3347,336352,46557
2026-02-09 05:00:02,703705088,8158368768,17875,1037053,3347,339887,46933
2026-02-09 06:00:02,703705088,8219374592,17875,1049650,3347,344052,47399
2026-02-09 07:00:02,703705088,8304374784,17875,1063837,3347,348685,47922
2026-02-09 08:00:02,703705088,8363500544,17875,1075984,3347,352717,48343
2026-02-09 09:00:02,703705088,8426865664,17875,1089148,3347,357141,48815
2026-02-09 10:00:02,703705088,8479142912,17875,1099796,3347,360795,49206
2026-02-09 11:00:02,703705088,8524039168,17875,1109031,3347,364041,49559
2026-02-09 12:00:03,703705088,8592700416,17875,1123231,3347,368762,50089
2026-02-09 13:00:02,703705088,8636703744,17875,1132320,3347,372033,50425
2026-02-09 14:00:02,703705088,8698405888,17875,1145149,3347,376257,50892
2026-02-09 15:00:02,703705088,8758805504,17875,1157806,3347,380669,51377
2026-02-09 16:00:02,703705088,8802010112,17875,1166681,3347,383836,51723
2026-02-09 17:00:02,703705088,8852857856,17875,1177278,3347,387642,52115
2026-02-09 18:00:02,703705088,8925230080,17875,1192269,3347,392636,52680
2026-02-09 19:00:02,703705088,8958911488,17875,1199076,3347,395160,52940
2026-02-09 20:00:02,703705088,8984830976,17875,1204298,3347,397074,53144
2026-02-09 21:00:02,703705088,9028076544,17875,1213133,3347,400100,53483
2026-02-09 22:00:02,703705088,9052091392,17875,1217883,3347,401921,53684
2026-02-09 23:00:02,703705088,9074029568,17875,1222223,3347,403675,53862
2026-02-10 00:00:02,703705088,9100616704,17875,1227271,3347,405555,54073
2026-02-10 01:00:02,703709184,9123546112,17876,1231671,3347,407214,54247
2026-02-10 02:00:02,703709184,9154434048,17876,1237971,3347,409413,54490
2026-02-10 03:00:02,703709184,9649804288,17876,1247081,3347,414168,55160
2026-02-10 04:00:02,703709184,9685955584,17876,1254561,3347,416994,55477
2026-02-10 05:00:02,703709184,9709851648,17876,1259292,3347,418732,55664
2026-02-10 06:00:03,703709184,9735881728,17876,1264607,3347,420667,55868
2026-02-10 07:00:02,769188864,10318570496,23485,1320828,4199,429076,59226
2026-02-10 08:00:02,771351552,10407134208,23923,1335188,4261,433471,59757
2026-02-10 09:00:02,773108736,10452423680,24000,1344578,4281,436643,60100
2026-02-10 10:00:02,774128640,10494387200,24042,1353286,4293,439547,60409
2026-02-10 11:00:03,774398976,10542580736,24049,1363228,4297,442916,60777
2026-02-10 12:00:02,774398976,10594059264,24049,1374001,4297,446536,61191
2026-02-10 13:00:02,774493184,10634687488,24052,1382436,4298,449502,61496
2026-02-10 14:00:02,774501376,10705118208,24054,1394953,4298,453520,61941
2026-02-10 15:00:02,774501376,10753831936,24054,1404245,4298,456359,62227
2026-02-10 16:00:02,774501376,10779812864,24054,1409409,4298,458061,62399
2026-02-10 17:00:02,774501376,10821035008,24054,1417597,4298,460542,62668
2026-02-10 18:00:02,774505472,10920805376,24055,1437457,4299,466139,63294
2026-02-10 19:00:02,774505472,11027420160,24055,1458589,4299,472310,63994
2026-02-10 20:00:03,774542336,11135321088,24058,1480158,4300,478722,64750
2026-02-10 21:00:02,774550528,11189163008,24060,1491133,4300,482333,65152
2026-02-10 22:00:02,774550528,11229996032,24060,1499445,4300,485347,65474
2026-02-10 23:00:02,774550528,11270763520,24060,1507645,4300,488119,65775
2026-02-11 00:00:03,774878208,11337749504,24081,1521014,4305,492581,66277
2026-02-11 01:00:02,774910976,11394757632,24089,1532266,4307,496446,66691
2026-02-11 02:00:02,774910976,11450790912,24089,1543704,4307,500195,67071
2026-02-11 03:00:02,774910976,11517862912,24089,1556784,4307,504193,67534
2026-02-11 04:00:02,775046144,11576292352,24092,1568778,4309,508139,67936
2026-02-11 05:00:02,775050240,11642881024,24093,1582387,4309,512358,68397
2026-02-11 06:00:02,775181312,11704022016,24096,1594896,4310,516286,68840
2026-02-11 07:00:02,775451648,11769422848,24103,1608288,4313,520636,69293
2026-02-11 08:00:02,775463936,11824268288,24106,1616031,4313,523312,69571
2026-02-11 09:00:02,775681024,12137157632,24159,1624413,4322,526956,70097
2026-02-11 10:00:02,775779328,12182021120,24183,1633396,4327,530193,70422
2026-02-11 11:00:02,775779328,12233921536,24183,1643961,4327,533898,70827
2026-02-11 12:00:02,775779328,12294120448,24183,1656338,4327,538279,71310
2026-02-11 13:00:02,775779328,12345635840,24183,1666896,4327,541899,71731
2026-02-11 14:00:03,775779328,12400415744,24183,1678146,4327,545882,72151
2026-02-11 15:00:02,775779328,12447065088,24183,1687669,4327,549231,72527
2026-02-11 16:00:02,775779328,12508476416,24183,1700319,4327,553693,72991
2026-02-11 17:00:02,775779328,12523156480,24183,1702953,4327,554711,73101
2026-02-11 18:00:03,775779328,12542231552,24183,1706180,4327,556032,73220
2026-02-11 19:00:02,775779328,12575069184,24183,1712333,4327,558428,73477
2026-02-11 20:00:02,775779328,12623242240,24183,1722092,4327,561917,73841
2026-02-11 21:00:02,775779328,12699735040,24183,1737914,4327,567339,74431
2026-02-11 22:00:03,775779328,12779394048,24183,1754184,4327,572744,75025
2026-02-11 23:00:02,775779328,12899427328,24183,1777489,4327,580122,75812
2026-02-12 00:00:02,775783424,12943270912,24184,1783616,4327,582379,76060
2026-02-12 01:00:02,775787520,12977660928,24185,1789549,4327,584410,76259
2026-02-12 02:00:03,775787520,13009060864,24185,1795717,4327,586337,76450
2026-02-12 03:00:02,775787520,13028959232,24185,1799554,4327,587627,76581
2026-02-12 04:00:02,775787520,13039842304,24185,1801502,4327,588328,76661
2026-02-12 05:00:02,775787520,13056607232,24185,1804008,4327,589286,76779
2026-02-12 06:00:02,775787520,13117486080,24185,1816028,4327,592929,77171
2026-02-12 07:00:03,775787520,13239747584,24185,1839364,4327,599595,77929
2026-02-12 08:00:02,775787520,13368509440,24185,1864453,4327,606743,78788
2026-02-12 09:00:02,775787520,13470069760,24185,1881436,4327,612159,79387
2026-02-12 10:00:02,775787520,13771928576,24185,1887302,4327,615612,79876
2026-02-12 11:00:03,775787520,13804864512,24185,1893852,4327,618107,80153
2026-02-12 12:00:02,775787520,13835371520,24185,1899869,4327,620323,80419
2026-02-12 13:00:02,775787520,13875823616,24185,1907907,4327,623393,80755
2026-02-12 14:00:02,775787520,13909931008,24185,1914669,4327,625955,81025
2026-02-12 15:00:02,775787520,13945140224,24185,1921692,4327,628589,81313
2026-02-12 16:00:02,775787520,14048216064,24185,1942352,4327,635154,82050
2026-02-12 17:00:02,775787520,14134002688,24185,1960116,4327,640814,82659
2026-02-12 18:00:02,775787520,14235657216,24185,1981022,4327,647842,83444
2026-02-12 19:00:02,775787520,14346851328,24185,2003886,4327,655662,84347
2026-02-12 20:00:03,775787520,14455677952,24185,2026409,4327,663005,85194
2026-02-12 21:00:02,775787520,14546048000,24185,2045308,4327,669337,85884
2026-02-12 22:00:02,775787520,14639309824,24185,2064552,4327,675516,86571
2026-02-12 23:00:02,775787520,14687245312,24185,2074321,4327,679095,86948
2026-02-13 00:00:03,775787520,14732559360,24185,2083267,4327,682267,87338
2026-02-13 01:00:02,775791616,14772298752,24186,2091240,4327,685095,87654
2026-02-13 02:00:02,775791616,14811403264,24186,2099212,4327,687884,87956
2026-02-13 03:00:02,775791616,14852064256,24186,2107532,4327,690974,88269
2026-02-13 04:00:03,775791616,14892626944,24186,2115765,4327,693942,88593
2026-02-13 05:00:02,775824384,15318156288,24194,2124234,4329,698930,89247
2026-02-13 06:00:02,775828480,15359116288,24195,2132513,4329,701958,89577
2026-02-13 07:00:02,778093568,15494919168,24275,2144510,4350,706298,90062
2026-02-13 08:00:02,778093568,15527646208,24275,2149823,4350,708106,90249
2026-02-13 09:00:03,778093568,15580451840,24275,2160322,4350,711499,90615
2026-02-13 10:00:02,778093568,15643190272,24275,2169730,4350,714467,90923
2026-02-13 11:00:02,778093568,15678530560,24275,2176389,4350,716536,91162
2026-02-13 12:00:02,778093568,15703979008,24275,2181319,4350,718220,91330
2026-02-13 13:00:02,778093568,15728768000,24275,2186279,4350,719954,91494
2026-02-13 14:00:02,778093568,15779456000,24275,2196526,4350,723433,91868
2026-02-13 15:00:02,778093568,15829496832,24275,2206694,4350,726882,92210
2026-02-13 16:00:02,778093568,15858136064,24275,2212447,4350,728977,92419
2026-02-13 17:00:02,778093568,15894369280,24275,2219782,4350,731623,92688
2026-02-13 18:00:02,778093568,15930708992,24275,2227063,4350,734196,92956
2026-02-13 19:00:02,778093568,15985812480,24275,2237950,4350,737899,93319
2026-02-13 20:00:02,778093568,16005854208,24275,2241643,4350,739262,93445
2026-02-13 21:00:02,778093568,16034616320,24275,2247147,4350,741250,93624
2026-02-13 22:00:02,778093568,16066520064,24275,2253130,4350,743379,93834
