date,bytes_sent,bytes_recv,packets_sent,packets_recv
2026-02-09 20:00:02,955642,955642,9504,9504
2026-02-09 21:00:02,955642,955642,9504,9504
2026-02-09 22:00:02,955642,955642,9504,9504
2026-02-09 23:00:02,955642,955642,9504,9504
2026-02-10 00:00:02,957139,957139,9522,9522
2026-02-10 01:00:02,957139,957139,9522,9522
2026-02-10 02:00:02,957139,957139,9522,9522
2026-02-10 03:00:02,961400,961400,9552,9552
2026-02-10 04:00:02,961400,961400,9552,9552
2026-02-10 05:00:02,961400,961400,9552,9552
2026-02-10 06:00:03,961400,961400,9552,9552
2026-02-10 07:00:02,961400,961400,9552,9552
2026-02-10 08:00:02,962520,962520,9564,9564
2026-02-10 09:00:02,963028,963028,9568,9568
2026-02-10 10:00:02,963028,963028,9568,9568
2026-02-10 11:00:03,963028,963028,9568,9568
2026-02-10 12:00:02,963028,963028,9568,9568
2026-02-10 13:00:02,963536,963536,9572,9572
2026-02-10 14:00:02,963536,963536,9572,9572
2026-02-10 15:00:02,963536,963536,9572,9572
2026-02-10 16:00:02,963536,963536,9572,9572
2026-02-10 17:00:02,963536,963536,9572,9572
2026-02-10 18:00:02,963536,963536,9572,9572
2026-02-10 19:00:02,963536,963536,9572,9572
2026-02-10 20:00:03,963536,963536,9572,9572
2026-02-10 21:00:02,963536,963536,9572,9572
2026-02-10 22:00:02,963536,963536,9572,9572
2026-02-10 23:00:02,963536,963536,9572,9572
2026-02-11 00:00:03,965033,965033,9590,9590
2026-02-11 01:00:02,965033,965033,9590,9590
2026-02-11 02:00:02,965033,965033,9590,9590
2026-02-11 03:00:02,965033,965033,9590,9590
2026-02-11 04:00:02,965033,965033,9590,9590
2026-02-11 05:00:02,965033,965033,9590,9590
2026-02-11 06:00:02,965541,965541,9594,9594
2026-02-11 07:00:02,965541,965541,9594,9594
2026-02-11 08:00:02,973912,973912,9678,9678
2026-02-11 09:00:02,977244,977244,9702,9702
2026-02-11 10:00:02,1028085,1028085,10206,10206
2026-02-11 11:00:02,1028085,1028085,10206,10206
2026-02-11 12:00:02,1028085,1028085,10206,10206
2026-02-11 13:00:02,1028085,1028085,10206,10206
2026-02-11 14:00:03,1028085,1028085,10206,10206
2026-02-11 15:00:02,1028085,1028085,10206,10206
2026-02-11 16:00:02,1028085,1028085,10206,10206
2026-02-11 17:00:02,1050681,1050681,10430,10430
2026-02-11 18:00:03,1100416,1100416,10922,10922
2026-02-11 19:00:02,1154485,1154485,11458,11458
2026-02-11 20:00:02,1176274,1176274,11674,11674
2026-02-11 21:00:02,1176274,1176274,11674,11674
2026-02-11 22:00:03,1189993,1189993,11810,11810
2026-02-11 23:00:02,1243255,1243255,12338,12338
2026-02-12 00:00:02,1301242,1301242,12916,12916
2026-02-12 01:00:02,1301242,1301242,12916,12916
2026-02-12 02:00:03,1301242,1301242,12916,12916
2026-02-12 03:00:02,1301242,1301242,12916,12916
2026-02-12 04:00:02,1301242,1301242,12916,12916
2026-02-12 05:00:02,1301750,1301750,12920,12920
2026-02-12 06:00:02,1301750,1301750,12920,12920
2026-02-12 07:00:03,1301750,1301750,12920,12920
2026-02-12 08:00:02,1301750,1301750,12920,12920
2026-02-12 09:00:02,1302870,1302870,12932,12932
2026-02-12 10:00:02,1306202,1306202,12956,12956
2026-02-12 11:00:03,1306202,1306202,12956,12956
2026-02-12 12:00:02,1306202,1306202,12956,12956
2026-02-12 13:00:02,1306202,1306202,12956,12956
2026-02-12 14:00:02,1306202,1306202,12956,12956
2026-02-12 15:00:02,1306202,1306202,12956,12956
2026-02-12 16:00:02,1306202,1306202,12956,12956
2026-02-12 17:00:02,1306202,1306202,12956,12956
2026-02-12 18:00:02,1361586,1361586,13504,13504
2026-02-12 19:00:02,1361586,1361586,13504,13504
2026-02-12 20:00:03,1361586,1361586,13504,13504
2026-02-12 21:00:02,1361586,1361586,13504,13504
2026-02-12 22:00:02,1383375,1383375,13720,13720
2026-02-12 23:00:02,1403550,1403550,13920,13920
2026-02-13 00:00:03,1405047,1405047,13938,13938
2026-02-13 01:00:02,1405047,1405047,13938,13938
2026-02-13 02:00:02,1405047,1405047,13938,13938
2026-02-13 03:00:02,1405047,1405047,13938,13938
2026-02-13 04:00:03,1405047,1405047,13938,13938
2026-02-13 05:00:02,1408571,1408571,13962,13962
2026-02-13 06:00:02,1408571,1408571,13962,13962
2026-02-13 07:00:02,1408571,1408571,13962,13962
2026-02-13 08:00:02,1408571,1408571,13962,13962
2026-02-13 09:00:03,1408571,1408571,13962,13962
2026-02-13 10:00:02,1409691,1409691,13974,13974
2026-02-13 11:00:02,1410199,1410199,13978,13978
2026-02-13 12:00:02,1410199,1410199,13978,13978
2026-02-13 13:00:02,1410199,1410199,13978,13978
2026-02-13 14:00:02,1410707,1410707,13982,13982
2026-02-13 15:00:02,1410707,1410707,13982,13982
2026-02-13 16:00:02,1410707,1410707,13982,13982
2026-02-13 17:00:02,1410707,1410707,13982,13982
2026-02-13 18:00:02,1426847,1426847,14142,14142
2026-02-13 19:00:02,1481723,1481723,14686,14686
2026-02-13 20:00:02,1514003,1514003,15006,15006
2026-02-13 21:00:02,1552739,1552739,15390,15390
2026-02-13 22:00:02,1618106,1618106,16038,16038
